game_id,title,aliases,series,release_year,release_state,primary_genre,platforms,source_type,source_id,cover_url,notes
steam_24240_paydaytm_the_heist,PAYDAY™ The Heist,,,2011,released,action,PC,steamdb,steam:24240,https://steamcdn-a.akamaihd.net/steam/apps/24240/header.jpg,Publisher: Daybreak Game Company | Tags: FPS; Action; Co-op; Heist
steam_621060_pc_building_simulator,PC Building Simulator,,,2019,released,indie,PC,steamdb,steam:621060,https://steamcdn-a.akamaihd.net/steam/apps/621060/header.jpg,Publisher: The Irregular Corporation | Tags: Early Access; Simulation; Building; Indie
steam_3480_peggle_deluxe,Peggle Deluxe,,,2007,released,casual,PC,steamdb,steam:3480,https://steamcdn-a.akamaihd.net/steam/apps/3480/header.jpg,"Publisher: PopCap Games, Inc. | Tags: Casual; Puzzle; Arcade; Singleplayer"
steam_3483_peggle_extreme,Peggle Extreme,,,2007,released,casual,PC,steamdb,steam:3483,https://steamcdn-a.akamaihd.net/steam/apps/3483/header.jpg,"Publisher: PopCap Games, Inc. | Tags: Casual; Puzzle; Free to Play; Action"
steam_22180_penumbra_overture,Penumbra Overture,,,2009,released,action,PC,steamdb,steam:22180,https://steamcdn-a.akamaihd.net/steam/apps/22180/header.jpg,Publisher: Frictional Games | Tags: Horror; Adventure; First-Person; Indie
steam_22120_penumbra_black_plague_gold_edition,Penumbra: Black Plague Gold Edition,,,2009,released,nudity,PC,steamdb,steam:22120,https://steamcdn-a.akamaihd.net/steam/apps/22120/header.jpg,Publisher: Frictional Games | Tags: Horror; Adventure; First-Person; Psychological Horror
steam_218740_pid,Pid,,,2012,released,adventure,PC,steamdb,steam:218740,https://steamcdn-a.akamaihd.net/steam/apps/218740/header.jpg,Publisher: Might and Delight | Tags: Indie; Platformer; Adventure; Puzzle
steam_572890_pikuniku,Pikuniku,,,2019,released,action,PC,steamdb,steam:572890,https://steamcdn-a.akamaihd.net/steam/apps/572890/header.jpg,Publisher: Devolver Digital
steam_291650_pillars_of_eternity,Pillars of Eternity,,,2015,released,rpg,PC,steamdb,steam:291650,https://steamcdn-a.akamaihd.net/steam/apps/291650/header.jpg,Publisher: Paradox Interactive | Tags: RPG; Fantasy; Isometric; Story Rich
steam_560130_pillars_of_eternity_ii_deadfire,Pillars of Eternity II: Deadfire,,,2018,released,rpg,PC,steamdb,steam:560130,https://steamcdn-a.akamaihd.net/steam/apps/560130/header.jpg,"Publisher: Versus Evil, Obsidian Entertainment | Tags: RPG; Fantasy; Story Rich; Isometric"
steam_238260_pinball_arcade,Pinball Arcade,,,2013,released,free_to_play,PC,steamdb,steam:238260,https://steamcdn-a.akamaihd.net/steam/apps/238260/header.jpg,Publisher: FarSight Studios | Tags: Pinball; Simulation; Free to Play; Arcade
steam_17570_pirates_vikings_and_knights_ii,"Pirates, Vikings, and Knights II",,,2010,released,action,PC,steamdb,steam:17570,https://steamcdn-a.akamaihd.net/steam/apps/17570/header.jpg,Publisher: Octoshark Studios | Tags: Free to Play; Action; Multiplayer; Medieval
steam_291860_pit_people,Pit People®,,,2018,released,action,PC,steamdb,steam:291860,https://steamcdn-a.akamaihd.net/steam/apps/291860/header.jpg,Publisher: The Behemoth | Tags: Strategy; Funny; Turn-Based Combat; Comedy
steam_593600_pixark,PixARK,,,2019,released,action,PC,steamdb,steam:593600,https://steamcdn-a.akamaihd.net/steam/apps/593600/header.jpg,Publisher: Snail Games USA | Tags: Early Access; Survival; Open World; Sandbox
steam_351030_pixel_puzzles_ultimate_jigsaw,Pixel Puzzles Ultimate Jigsaw,,,2016,released,casual,PC,steamdb,steam:351030,https://steamcdn-a.akamaihd.net/steam/apps/351030/header.jpg,Publisher: The Digital Puzzle Company | Tags: Free to Play; Casual; Puzzle; Indie
steam_105800_pixeljunktm_eden,PixelJunk™ Eden,,,2012,released,action,PC,steamdb,steam:105800,https://steamcdn-a.akamaihd.net/steam/apps/105800/header.jpg,Publisher: Q-Games Ltd. | Tags: Casual; Indie; Platformer; Great Soundtrack
steam_243780_pixeljunktm_monsters_ultimate,PixelJunk™ Monsters Ultimate,,,2013,released,strategy,PC,steamdb,steam:243780,https://steamcdn-a.akamaihd.net/steam/apps/243780/header.jpg,Publisher: Double Eleven | Tags: Tower Defense; Strategy; Local Co-Op; 2D
steam_246620_plague_inc_evolved,Plague Inc: Evolved,,,2016,released,casual,PC,steamdb,steam:246620,https://steamcdn-a.akamaihd.net/steam/apps/246620/header.jpg,Publisher: Ndemic Creations | Tags: Strategy; Simulation; Indie; Singleplayer
steam_466300_planescape_torment_enhanced_edition,Planescape: Torment: Enhanced Edition,,,2017,released,adventure,PC,steamdb,steam:466300,https://steamcdn-a.akamaihd.net/steam/apps/466300/header.jpg,Publisher: Beamdog | Tags: RPG; Story Rich; Dark Fantasy; Party-Based RPG
steam_485030_planet_alpha,PLANET ALPHA,,,2018,released,action,PC,steamdb,steam:485030,https://steamcdn-a.akamaihd.net/steam/apps/485030/header.jpg,Publisher: Team17 Digital Ltd
steam_493340_planet_coaster,Planet Coaster,,,2016,released,simulation,PC,steamdb,steam:493340,https://steamcdn-a.akamaihd.net/steam/apps/493340/header.jpg,Publisher: Frontier Developments | Tags: Simulation; Building; Management; Sandbox
steam_703080_planet_zoo,Planet Zoo,,,2019,released,simulation,PC,steamdb,steam:703080,https://steamcdn-a.akamaihd.net/steam/apps/703080/header_alt_assets_1.jpg,Publisher: Frontier Developments
steam_386070_planetary_annihilation_titans,Planetary Annihilation: TITANS,,,2015,released,action,PC,steamdb,steam:386070,https://steamcdn-a.akamaihd.net/steam/apps/386070/header.jpg,Publisher: Planetary Annihilation Inc | Tags: Strategy; RTS; Space; Multiplayer
steam_403190_planetbase,Planetbase,,,2015,released,indie,PC,steamdb,steam:403190,https://steamcdn-a.akamaihd.net/steam/apps/403190/header.jpg,Publisher: Madruga Works | Tags: City Builder; Space; Base-Building; Strategy
steam_218230_planetside_2,PlanetSide 2,,,2012,released,action,PC,steamdb,steam:218230,https://steamcdn-a.akamaihd.net/steam/apps/218230/header.jpg,Publisher: Daybreak Game Company | Tags: Free to Play; Massively Multiplayer; FPS; Action
steam_987350_planetside_arena,PlanetSide Arena,,,2019,released,action,PC,steamdb,steam:987350,https://steamcdn-a.akamaihd.net/steam/apps/987350/header.jpg,Publisher: Daybreak Game Company
steam_421040_plantera,Plantera,,,2016,released,casual,PC,steamdb,steam:421040,https://steamcdn-a.akamaihd.net/steam/apps/421040/header.jpg,Publisher: VaragtP | Tags: Casual; Clicker; Indie; Cute
steam_3590_plants_vs_zombies_goty_edition,Plants vs. Zombies GOTY Edition,,,2009,released,strategy,PC,steamdb,steam:3590,https://steamcdn-a.akamaihd.net/steam/apps/3590/header.jpg,"Publisher: PopCap Games, Inc. | Tags: Tower Defense; Zombies; Strategy; Casual"
steam_578080_playerunknown_s_battlegrounds,PLAYERUNKNOWN'S BATTLEGROUNDS,,,2017,released,action,PC,steamdb,steam:578080,https://steamcdn-a.akamaihd.net/steam/apps/578080/header.jpg,Publisher: PUBG Corporation | Tags: Survival; Shooter; Multiplayer; PvP
steam_354240_please_don_t_touch_anything,"Please, Don’t Touch Anything",,,2015,released,casual,PC,steamdb,steam:354240,https://steamcdn-a.akamaihd.net/steam/apps/354240/header.jpg,Publisher: Forward Game Studios | Tags: Puzzle; Indie; Pixel Graphics; Singleplayer
steam_234710_poker_night_2,Poker Night 2,,,2013,released,casual,PC,steamdb,steam:234710,https://steamcdn-a.akamaihd.net/steam/apps/234710/header.jpg,Publisher: Telltale Games | Tags: Card Game; Casual; Comedy; Singleplayer
steam_31280_poker_night_at_the_inventory,Poker Night at the Inventory,,,2010,released,casual,PC,steamdb,steam:31280,https://steamcdn-a.akamaihd.net/steam/apps/31280/header.jpg,Tags: Card Game; Casual; Comedy; Singleplayer
steam_315430_polarity,Polarity,,,2016,released,action,PC,steamdb,steam:315430,https://steamcdn-a.akamaihd.net/steam/apps/315430/header.jpg,Publisher: Bluebutton Games | Tags: Puzzle; Indie; First-Person; Local Co-Op
steam_367450_poly_bridge,Poly Bridge,,,2016,released,indie,PC,steamdb,steam:367450,https://steamcdn-a.akamaihd.net/steam/apps/367450/header.jpg,Publisher: Dry Cactus | Tags: Building; Simulation; Physics; Puzzle
steam_405640_pony_island,Pony Island,,,2016,released,indie,PC,steamdb,steam:405640,https://steamcdn-a.akamaihd.net/steam/apps/405640/header.jpg,Publisher: Daniel Mullins Games | Tags: Puzzle; Indie; Psychological Horror; Pixel Graphics
steam_254440_pool_nation,Pool Nation,,,2013,released,casual,PC,steamdb,steam:254440,https://steamcdn-a.akamaihd.net/steam/apps/254440/header.jpg,Publisher: Cherry Pop Games | Tags: Sports; Simulation; Pool; Casual
steam_314000_pool_nation_fx_lite,Pool Nation FX Lite,,,2015,released,casual,PC,steamdb,steam:314000,https://steamcdn-a.akamaihd.net/steam/apps/314000/header.jpg,Publisher: Cherry Pop Games | Tags: Free to Play; Sports; Simulation; Multiplayer
steam_535490_porno_studio_tycoon,Porno Studio Tycoon,,,2017,released,sexual_content,PC,steamdb,steam:535490,https://steamcdn-a.akamaihd.net/steam/apps/535490/header.jpg,Publisher: Zitrix Megalomedia | Tags: Sexual Content; Simulation; Nudity; Mature
steam_247120_portal_2_sixense_perceptual_pack,Portal 2 Sixense Perceptual Pack,,,2013,released,action,PC,steamdb,steam:247120,https://steamcdn-a.akamaihd.net/steam/apps/247120/header.jpg,Publisher: Sixense | Tags: Adventure; Action; Free to Play; Multiplayer
steam_374040_portal_knights,Portal Knights,,,2017,released,action,PC,steamdb,steam:374040,https://steamcdn-a.akamaihd.net/steam/apps/374040/header.jpg,Publisher: 505 Games | Tags: Adventure; Open World; Sandbox; Multiplayer
steam_232770_postal,POSTAL,,,1997,released,action,PC,steamdb,steam:232770,https://steamcdn-a.akamaihd.net/steam/apps/232770/header.jpg,Publisher: Running With Scissors | Tags: Action; Classic; Dark Humor; Indie
steam_223470_postal_2,POSTAL 2,,,2012,released,action,PC,steamdb,steam:223470,https://steamcdn-a.akamaihd.net/steam/apps/223470/header.jpg,Publisher: Running With Scissors | Tags: Dark Humor; Violent; Action; FPS
steam_465520_price,PRICE,,,2016,released,adventure,PC,steamdb,steam:465520,https://steamcdn-a.akamaihd.net/steam/apps/465520/header.jpg,Publisher: YETU GAME | Tags: Puzzle; Free to Play; Anime; Indie
steam_215470_primal_carnage,Primal Carnage,,,2012,released,action,PC,steamdb,steam:215470,https://steamcdn-a.akamaihd.net/steam/apps/215470/header.jpg,Publisher: Circle 5 Publishing | Tags: Dinosaurs; Multiplayer; Action; Shooter
steam_235340_prime_world,Prime World,,,2014,released,action,PC,steamdb,steam:235340,https://steamcdn-a.akamaihd.net/steam/apps/235340/header.jpg,Publisher: Nival | Tags: Free to Play; MOBA; Strategy; Multiplayer
steam_33320_prince_of_persia_the_forgotten_sandstm,Prince of Persia: The Forgotten Sands™,,,2010,released,action,PC,steamdb,steam:33320,https://steamcdn-a.akamaihd.net/steam/apps/33320/header.jpg,Publisher: Ubisoft | Tags: Action; Adventure; Platformer; Parkour
steam_13530_prince_of_persia_the_two_thronestm,Prince of Persia: The Two Thrones™,,,2008,released,action,PC,steamdb,steam:13530,https://steamcdn-a.akamaihd.net/steam/apps/13530/header.jpg,Publisher: Ubisoft | Tags: Action; Adventure; Platformer; Parkour
steam_13500_prince_of_persia_warrior_withintm,Prince of Persia: Warrior Within™,,,2008,released,action,PC,steamdb,steam:13500,https://steamcdn-a.akamaihd.net/steam/apps/13500/header.jpg,Publisher: Ubisoft | Tags: Action; Adventure; Parkour; Third Person
steam_19980_prince_of_persia,Prince of Persia®,,,2008,released,action,PC,steamdb,steam:19980,https://steamcdn-a.akamaihd.net/steam/apps/19980/header.jpg,Publisher: Ubisoft | Tags: Action; Adventure; Platformer; Third Person
steam_490220_prismata,Prismata,,,2018,released,free_to_play,PC,steamdb,steam:490220,https://steamcdn-a.akamaihd.net/steam/apps/490220/header.jpg,Publisher: Lunarch Studios | Tags: Early Access; Strategy; Indie; Card Game
steam_233450_prison_architect,Prison Architect,,,2015,released,indie,PC,steamdb,steam:233450,https://steamcdn-a.akamaihd.net/steam/apps/233450/header.jpg,Publisher: Paradox Interactive | Tags: Simulation; Building; Strategy; Management
