asset_id,game_id,title,source_type,source_ref,cover_path,resolved_image_url,download_status,notes
GCA233,captain_toad_treasure_tracker,Captain Toad: Treasure Tracker,ggapp_export,https://ggapp.io/games/kM8nQx/captain-toad-treasure-tracker,/covers/games/captain_toad_treasure_tracker.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL2tNOG5ReC8xOTIyN2VlYy1lOTg2LTQ1NTctYWQ2MS0yNjYzMWMxYmQyM2EucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Replaced from raw-data-images.rtf export (https://ggapp.io/games/kM8nQx/captain-toad-treasure-tracker).
GCA062,captain_tsubasa_rise_of_new_champions,Captain Tsubasa: Rise of New Champions,ggapp_export,https://ggapp.io/games/ieGtHI/captain-tsubasa-rise-of-new-champions,/covers/games/captain_tsubasa_rise_of_new_champions.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL2llR3RISS8yMjU2ZDNmZS1jNmQwLTRkYzctODQxYS02YjY5MThmMDUwYmIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Replaced from raw-data-images.rtf export (https://ggapp.io/games/ieGtHI/captain-tsubasa-rise-of-new-champions).
GCA255,castlevania_dominus_collection,Castlevania Dominus Collection,ggapp_export,https://ggapp.io/games/bWUSQP/castlevania-dominus-collection,/covers/games/castlevania_dominus_collection.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL2JXVVNRUC80YjUxOWQ0OC1jZGVhLTQxNGItYmY3ZS0yNjEwNjA2NmFjMWYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Imported new game and cover from GG App export (https://ggapp.io/games/bWUSQP/castlevania-dominus-collection).
GCA029,castlevania_aria_of_sorrow,Castlevania: Aria of Sorrow,ggapp_export,https://ggapp.io/games/G9er8N/castlevania-aria-of-sorrow,/covers/games/castlevania_aria_of_sorrow.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL0c5ZXI4Ti84YWZmM2JhMS02NDQ4LTQ2MGYtYmUwZS0xMzEzNDY4MWE2NDAucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Replaced from raw-data-images.rtf export (https://ggapp.io/games/G9er8N/castlevania-aria-of-sorrow).
GCA027,castlevania_circle_of_the_moon,Castlevania: Circle of the Moon,ggapp_export,https://ggapp.io/games/Q9ju74/castlevania-circle-of-the-moon,/covers/games/castlevania_circle_of_the_moon.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL1E5anU3NC9mMDE1N2JkOS00MzM1LTQwMGEtOTlhYy1hYzU1MzNlNmFjY2UucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Replaced from raw-data-images.rtf export (https://ggapp.io/games/Q9ju74/castlevania-circle-of-the-moon).
GCA030,castlevania_dawn_of_sorrow,Castlevania: Dawn of Sorrow,ggapp_export,https://ggapp.io/games/NvTjGy/castlevania-dawn-of-sorrow,/covers/games/castlevania_dawn_of_sorrow.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL052VGpHeS8yYjBhNzdkNi0zZjgyLTQwZDAtYjg3ZC01NDgzYzhjNzVlZGIucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Replaced from raw-data-images.rtf export (https://ggapp.io/games/NvTjGy/castlevania-dawn-of-sorrow).
GCA028,castlevania_harmony_of_dissonance,Castlevania: Harmony of Dissonance,ggapp_export,https://ggapp.io/games/P2l0cY/castlevania-harmony-of-dissonance,/covers/games/castlevania_harmony_of_dissonance.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL1AybDBjWS8xZjVjYzJjOS1kMTFmLTQzYjUtOGNkMS1kZmQ5M2M4MmVjODcucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Replaced from raw-data-images.rtf export (https://ggapp.io/games/P2l0cY/castlevania-harmony-of-dissonance).
GCA256,castlevania_order_of_ecclesia,Castlevania: Order of Ecclesia,ggapp_export,https://ggapp.io/games/HKWgcr/castlevania-order-of-ecclesia,/covers/games/castlevania_order_of_ecclesia.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL0hLV2djci9jMTBmZjUzNS1lYmY4LTQ3YmYtOTU2NS00YTU4MTIxYzZhN2QucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Imported new game and cover from GG App export (https://ggapp.io/games/HKWgcr/castlevania-order-of-ecclesia).
GCA261,castlevania_portrait_of_ruin,Castlevania: Portrait of Ruin,ggapp_export,https://ggapp.io/games/k1Ci6A/castlevania-portrait-of-ruin,/covers/games/castlevania_portrait_of_ruin.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL2sxQ2k2QS9kYmQyOTgwZS02MWNiLTQ2ODAtYTEyOC03OGIxMjZlZTE2MjYucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Imported new game and cover from GG App export (https://ggapp.io/games/k1Ci6A/castlevania-portrait-of-ruin).
GCA310,castlevania_symphony_of_the_night,Castlevania: Symphony of the Night,ggapp_export,https://ggapp.io/games/d827Eo/castlevania-symphony-of-the-night,/covers/games/castlevania_symphony_of_the_night.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL2Q4MjdFby9iZDliOWZhZi04Y2Y4LTQ5YWUtYWRmZi0yZDczODU5ZWIzMTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Imported new game and cover from GG App export (https://ggapp.io/games/d827Eo/castlevania-symphony-of-the-night).
