asset_id,entry_id,collection_id,series,title,source_type,source_ref,cover_path,resolved_image_url,download_status,notes
FCA157,FFM011,final_fantasy_master,Final Fantasy,Final Fantasy X,wikipedia_summary,Final Fantasy X,/covers/final-fantasy/FFM011.jpg,https://upload.wikimedia.org/wikipedia/en/a/a7/Ffxboxart.jpg,downloaded,Primary article cover.
FCA158,FFM012,final_fantasy_master,Final Fantasy,Final Fantasy XI: Online,wikipedia_summary,Final Fantasy XI,/covers/final-fantasy/FFM012.png,https://upload.wikimedia.org/wikipedia/en/0/01/Final_Fantasy_XI_logo.png,downloaded,Primary article logo.
FCA159,FFM013,final_fantasy_master,Final Fantasy,Final Fantasy X-2,wikipedia_summary,Final Fantasy X-2,/covers/final-fantasy/FFM013.png,https://upload.wikimedia.org/wikipedia/en/b/b8/Final_Fantasy_X-2_cover_art.png,downloaded,Primary article cover.
FCA160,FFM014,final_fantasy_master,Final Fantasy,Final Fantasy Tactics Advance,wikipedia_summary,Final Fantasy Tactics Advance,/covers/final-fantasy/FFM014.jpg,https://upload.wikimedia.org/wikipedia/en/c/c4/FinalFantasyTacticsAdvanceGBACoverArtUS.jpg,downloaded,Primary article cover.
FCA161,FFM015,final_fantasy_master,Final Fantasy,Final Fantasy Crystal Chronicles,direct_url,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000027419/a138045cd1ef99d67758093e43de4a697591ef26a898e564d4dc2df08a8260b2",/covers/final-fantasy/FFM015.jpg,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000027419/a138045cd1ef99d67758093e43de4a697591ef26a898e564d4dc2df08a8260b2",downloaded,No stable original box art found in current sources; using official remastered key art.
FCA162,FFM016,final_fantasy_master,Final Fantasy,Before Crisis: Final Fantasy VII,wikipedia_summary,Before Crisis: Final Fantasy VII,/covers/final-fantasy/FFM016.png,https://upload.wikimedia.org/wikipedia/en/c/c3/Final_fantasy_vii_before_crisis_logo.PNG,downloaded,Primary article cover.
FCA163,FFM017,final_fantasy_master,Final Fantasy,Final Fantasy VII Snowboarding,wikipedia_summary,Final Fantasy VII,/covers/final-fantasy/FFM017.jpg,https://upload.wikimedia.org/wikipedia/en/c/c2/Final_Fantasy_VII_Box_Art.jpg,downloaded,Shared with parent article.
FCA164,FFM018,final_fantasy_master,Final Fantasy,Final Fantasy IV Advance,wikipedia_summary,Final Fantasy IV,/covers/final-fantasy/FFM018.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Final_Fantasy_IV.jpg/330px-Final_Fantasy_IV.jpg,downloaded,Shared with parent article.
FCA165,FFM019,final_fantasy_master,Final Fantasy,Final Fantasy XII,game_cover_sync,game:final_fantasy_xii,/covers/games/final_fantasy_xii.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL3VDTkhNSi82MGNmODhmMi0zOWJhLTQ2NjAtYWZhMi02M2FiMDlmNTgwNzQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Synced from mapped game cover final_fantasy_xii (ggapp_export; https://ggapp.io/games/uCNHMJ/final-fantasy-xii).
FCA166,FFM020,final_fantasy_master,Final Fantasy,Dirge of Cerberus: Final Fantasy VII,wikipedia_summary,Dirge of Cerberus: Final Fantasy VII,/covers/final-fantasy/FFM020.jpg,https://upload.wikimedia.org/wikipedia/en/1/11/Dirgeofcerberususbox.jpg,downloaded,Primary article cover.
FCA167,FFM021,final_fantasy_master,Final Fantasy,Dirge of Cerberus Lost Episode: Final Fantasy VII,wikipedia_summary,Dirge of Cerberus: Final Fantasy VII,/covers/final-fantasy/FFM021.jpg,https://upload.wikimedia.org/wikipedia/en/1/11/Dirgeofcerberususbox.jpg,downloaded,Shared with parent article.
FCA168,FFM022,final_fantasy_master,Final Fantasy,Final Fantasy V Advance,wikipedia_summary,Final Fantasy V,/covers/final-fantasy/FFM022.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Final_Fantasy_V_Box_JAP.jpg/330px-Final_Fantasy_V_Box_JAP.jpg,downloaded,Shared with parent article.
FCA169,FFM023,final_fantasy_master,Final Fantasy,Final Fantasy VI Advance,wikipedia_summary,Final Fantasy VI,/covers/final-fantasy/FFM023.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Final_Fantasy_VI.jpg/330px-Final_Fantasy_VI.jpg,downloaded,Shared with parent article.
FCA170,FFM024,final_fantasy_master,Final Fantasy,Final Fantasy III 3D Remake,wikipedia_summary,Final Fantasy III,/covers/final-fantasy/FFM024.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Ff3cover.jpg/330px-Ff3cover.jpg,downloaded,No dedicated remake art found in current sources; shared with original article.
FCA171,FFM025,final_fantasy_master,Final Fantasy,Final Fantasy XII: Revenant Wings,wikipedia_summary,Final Fantasy XII: Revenant Wings,/covers/final-fantasy/FFM025.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/07/Final_Fantasy_XII_-_Revenant_Wings_Coverart.png/330px-Final_Fantasy_XII_-_Revenant_Wings_Coverart.png,downloaded,Primary article cover.
